L2s,L3s,L4s
",37,",",AGE,",",AGE-BA,"
,",AGS,",",AGE-CD,"
,",AGW,",",AGE-CH,"
,",ALD,",",AGE-CN,"
,",ALT,",",AGE-DF,"
,",ALU,",",AGE-ER,"
,",AMU,",",AGE-FO,"
,",AND,",",AGE-LP,"
,",ASP,",",AGE-MI,"
,",ATP,",",AGE-SF,"
,",BIS,",",AGS-CB,"
,",BOR,",",AGS-NE,"
,",BRY,",",AGS-RN,"
,",CAB,",",AGS-SC,"
,",CAF,",",AGS-TF,"
,",CBD,",",AGW-CA,"
,",CKI,",",AGW-JU,"
,",CLC,",",AGW-LR,"
,",CLN,",",AGW-ME,"
,",CLS,",",AGW-SA,"
,",CPP,",",AGW-SE,"
,",CPV,",",AGW-SJ,"
,",CRL,",",AGW-SL,"
,",CRZ,",",AGW-TU,"
,",CTA,",",AND-AN,"
,",CTM,",",AUT-AU,"
,",CVI,",",BGM-BE,"
,",DSV,",",BOR-BR,"
,",EAI,",",BOR-SB,"
,",ELS,",",BOR-SR,"
,",EQG,",",BZC-DF,"
,",FAL,",",BZE-FN,"
,",GIL,",",CHC-CQ,"
,",GUA,",",CHI-NM,"
,",HBI,",",CLC-BI,"
,",HMD,",",CLC-CO,"
,",HON,",",CLC-LA,"
,",IRK,",",CLC-MA,"
,",IRQ,",",CLC-OH,"
,",JAW,",",CLC-SA,"
,",JNF,",",CLC-VA,"
,",KAM,",",CLN-AN,"
,",KAZ,",",CLN-AT,"
,",KEG,",",CLN-TA,"
,",KHA,",",CLS-AI,"
,",KRA,",",CLS-LL,"
,",KRI,",",CLS-MG,"
,",KRY,",",COM-CO,"
,",KUR,",",CPI-CL,"
,",KUW,",",CPI-CO,"
,",KZN,",",CPP-EC,"
,",LAB,",",CPP-NC,"
,",LBS,",",CPP-WC,"
,",LDV,",",CRL-MF,"
,",LSI,",",CRL-PA,"
,",MAG,",",CZE-SK,"
,",MAQ,",",CZE-SL,"
,",MCI,",",EHM-BH,"
,",MCS,",",FRA-FR,"
,",MOL,",",FRA-MO,"
,",MON,",",GGI-ST,"
,",MPE,",",GST-BA,"
,",MXC,",",HAI-HA,"
,",MXE,",",HAI-NI,"
,",MXG,",",HAW-HI,"
,",MXI,",",HAW-MI,"
,",MXN,",",IND-DD,"
,",MXS,",",IND-DM,"
,",MXT,",",IND-PO,"
,",MYA,",",ITA-IT,"
,",NAT,",",ITA-SM,"
,",NCB,",",JAP-HK,"
,",NCS,",",JAP-HN,"
,",NNS,",",JAP-KY,"
,",NUE,",",JAP-SH,"
,",NZN,",",LBS-LB,"
,",NZS,",",LBS-SY,"
,",OFS,",",LEE-NL,"
,",OGA,",",LSI-ET,"
,",PAK,",",LSI-LS,"
,",PHX,",",MOR-MO,"
,",PRM,",",MXC-ME,"
,",RUE,",",MXC-MO,"
,",RUN,",",MXC-PU,"
,",RUS,",",MXC-TL,"
,",RUW,",",MXE-AG,"
,",SAK,",",MXE-CO,"
,",SCI,",",MXE-CU,"
,",SCS,",",MXE-DU,"
,",SCZ,",",MXE-GU,"
,",SEL,",",MXE-HI,"
,",SIN,",",MXE-NL,"
,",SOC,",",MXE-QU,"
,",SOL,",",MXE-SL,"
,",SSA,",",MXE-TA,"
,",SUL,",",MXE-ZA,"
,",SUM,",",MXG-VC,"
,",SVA,",",MXI-RG,"
,",SWC,",",MXN-BC,"
,",TCI,",",MXN-BS,"
,",TDC,",",MXN-SI,"
,",TKM,",",MXN-SO,"
,",TRT,",",MXS-CL,"
,",TUA,",",MXS-GR,"
,",TUB,",",MXS-JA,"
,",TUE,",",MXS-MI,"
,",TUV,",",MXS-NA,"
,",TVA,",",MXS-OA,"
,",TVL,",",MXT-CA,"
,",UZB,",",MXT-CI,"
,",VAN,",",MXT-QR,"
,",VIE,",",MXT-TB,"
,",VNA,",",MXT-YU,"
,",WAK,",",NFK-LH,"
,",WAL,",",NFK-NI,"
,",WSA,",",NFL-NE,"
,",YAK,",",NSW-NS,"
,,",NWG-IJ,"
,,",PAL-JO,"
,,",QLD-CS,"
,,",QLD-QU,"
,,",SAM-WS,"
,,",SIC-SI,"
,,",SPA-AN,"
,,",SPA-GI,"
,,",SPA-SP,"
,,",TCS-AZ,"
,,",TCS-GR,"
,,",TOK-MA,"
,,",TOK-SW,"
,,",TOK-TO,"
,,",TVL-GA,"
,,",TVL-MP,"
,,",TVL-NP,"
,,",TVL-NW,"
,,",UKR-UK,"
,,",WAU-AC,"
,,",WAU-WA,"
,,",YUG-BH,"
,,",YUG-MN,"
,,",YUG-SE,"
